term,MI_OR_CI,MI_sig,CC_OR_CI,CC_sig,OR_change_pct,Direction,Sig_change
DBAS_Medications,"0.67 [0.58, 0.76]",***,"0.68 [0.58, 0.78]",***,1.4,CC higher,Both significant
CISS_Emotion,"0.81 [0.60, 1.09]",,"0.85 [0.61, 1.20]",,6,CC higher,Both non-significant
BFI_Extraversion,"1.40 [1.10, 1.78]",**,"0.87 [0.57, 1.34]",,-37.9,CC lower,Lost sig in CC
BFI_Conscientiousness,"0.94 [0.70, 1.27]",,"1.49 [0.95, 2.36]",.,57.6,CC higher,Both non-significant
