"Family","Variable","Overall (N=397)","Continued (n=304)","Discontinued (n=93)","p (uncorrected)","p (FDR-corrected)","Sig (FDR)","Effect Size [95% CI]","Interpretation"
"Clinical","indication","3.77 (1.45)","4.14 (1.22)","2.55 (1.48)","< .001","< .001","***","d = -1.23 [-1.48, -0.98]","Large"
"Clinical","efficacy","3.76 (1.21)","3.97 (1.02)","3.08 (1.50)","< .001","< .001","***","d = -0.77 [-1.01, -0.53]","Medium"
"Clinical","alternative","3.86 (1.26)","4.04 (1.17)","3.26 (1.38)","< .001","< .001","***","d = -0.64 [-0.87, -0.40]","Medium"
"Clinical","inf_soc","2.62 (1.14)","2.81 (1.10)","2.01 (1.04)","< .001","< .001","***","d = -0.74 [-0.97, -0.50]","Medium"
"Clinical","inf_pres","3.10 (1.11)","3.16 (1.04)","2.91 (1.32)","0.119","0.215","","d = -0.22 [-0.45, 0.01]","Small"
"Clinical","inf_rphc","2.72 (1.04)","2.82 (1.00)","2.40 (1.10)","0.001","0.003","**","d = -0.42 [-0.65, -0.18]","Small"
"Clinical","interactions","3.12 (1.27)","3.37 (1.16)","2.31 (1.27)","< .001","< .001","***","d = -0.90 [-1.14, -0.66]","Large"
"Clinical","dependence","3.23 (1.17)","3.27 (1.12)","3.09 (1.30)","0.256","0.420","","d = -0.16 [-0.39, 0.08]","Negligible"
"Clinical","reduc","3.74 (1.12)","3.86 (1.06)","3.34 (1.22)","< .001","0.002","**","d = -0.47 [-0.70, -0.23]","Small"
"Clinical","cost","2.45 (1.09)","2.56 (1.07)","2.07 (1.06)","< .001","< .001","***","d = -0.46 [-0.69, -0.23]","Small"
"Sleep_Adverse","alc_sleep","","","","0.457","0.683","","V = 0.36 [0.00, 0.75]","Medium"
"Sleep_Adverse","    Less than 1 day/week","3 (15.0)","3 (20.0)","0 (0.0)","","","","",""
"Sleep_Adverse","    1-3 days/week","7 (35.0)","5 (33.3)","2 (40.0)","","","","",""
"Sleep_Adverse","    4-6 days/week","4 (20.0)","2 (13.3)","2 (40.0)","","","","",""
"Sleep_Adverse","    7 days/week","6 (30.0)","5 (33.3)","1 (20.0)","","","","",""
"Sleep_Adverse","can_sleep","","","","0.896","0.897","","V = 0.11 [0.00, 0.38]","Small"
"Sleep_Adverse","    Less than 1 day/week","20 (37.7)","14 (35.0)","6 (46.2)","","","","",""
"Sleep_Adverse","    1-3 days/week","8 (15.1)","6 (15.0)","2 (15.4)","","","","",""
"Sleep_Adverse","    4-6 days/week","5 (9.4)","4 (10.0)","1 (7.7)","","","","",""
"Sleep_Adverse","    7 days/week","20 (37.7)","16 (40.0)","4 (30.8)","","","","",""
"Sleep_Adverse","melatonin_use","","","","0.611","0.785","","V = 0.14 [0.00, 0.34]","Small"
"Sleep_Adverse","    Less than 1 day/week","28 (29.5)","19 (29.7)","9 (29.0)","","","","",""
"Sleep_Adverse","    1-3 days/week","12 (12.6)","10 (15.6)","2 (6.5)","","","","",""
"Sleep_Adverse","    4-6 days/week","18 (18.9)","11 (17.2)","7 (22.6)","","","","",""
"Sleep_Adverse","    7 days/week","37 (38.9)","24 (37.5)","13 (41.9)","","","","",""
"Sleep_Adverse","side_effects_1","2.42 (1.17)","2.32 (1.09)","2.76 (1.35)","0.005","0.033","*","d = +0.38 [0.14, 0.61]","Small"
"Sleep_Adverse","side_effects_2","2.07 (0.95)","2.02 (0.88)","2.23 (1.13)","0.103","0.265","","d = +0.23 [-0.01, 0.46]","Small"
"Sleep_Adverse","side_effects_3","1.58 (0.83)","1.55 (0.77)","1.69 (1.00)","0.231","0.415","","d = +0.17 [-0.06, 0.40]","Negligible"
"Sleep_Adverse","side_effects_4","2.80 (0.98)","2.81 (0.93)","2.77 (1.12)","0.760","0.897","","d = -0.04 [-0.27, 0.19]","Negligible"
