term,OR_full,OR_CI_full,p_full,OR_clean,OR_CI_clean,p_clean,separation_flag,m_converged,OR_change_pct,Sig_full,Sig_clean,Robustness
DBAS_Medications,0.6805934536971281,"0.68 [0.58, 0.79]",1.128013147673096e-6,0.5515124103138583,"0.55 [0.45, 0.67]",1.7688995105962186e-9,FALSE,25,-19,TRUE,TRUE,Robust (remains significant)
CISS_Emotion,0.8245095204819977,"0.82 [0.58, 1.17]",0.2756368354352215,0.7294742485231624,"0.73 [0.47, 1.13]",0.1559464633149934,FALSE,25,-11.5,FALSE,FALSE,Both non-significant
DBAS_Consequences,1.105969153452865,"1.11 [0.95, 1.29]",0.192884012442703,1.1718897690021686,"1.17 [0.97, 1.42]",0.1019131272351686,FALSE,25,6,FALSE,FALSE,Both non-significant
