term,Firth_OR,Firth_p,Firth_OR_CI,Standard_OR,Standard_p,Standard_OR_formatted,OR_diff_pct,Direction,Sig_change
DBAS_Medications,0.6711310808202652,1.9832149539667e-9,"0.67 [0.59, 0.76]",0.6662407863596862,4.270287082994289e-9,0.67,0.7340130716552735,Similar,Consistent
BFI_Extraversion,1.3938230008040051,0.005885265935023501,"1.39 [1.10, 1.77]",1.4034279990554794,0.005869183194626307,1.40,-0.6843955128398873,Similar,Consistent
CISS_Emotion,0.8096575627267281,0.16107164534793886,"0.81 [0.60, 1.09]",0.8060952623909944,0.1593547641484577,0.81,0.4419205150973579,Similar,Consistent
BFI_Conscientiousness,0.9434739474802503,0.6957068392201604,"0.94 [0.70, 1.26]",0.9445220410964342,0.7056404219471648,0.94,-0.11096550112978848,Similar,Consistent
