"variable","family","effect_type","effect_size","ci_low","ci_high","interpretation","n_continued","n_discontinued","desc_continued","desc_discontinued"
"SURPS_Sensation_Seeking","Personality","Hedges_g",0.0821,-0.15,0.3146,"Negligible",304,93,"1.95 (0.53)","1.99 (0.54)"
"SURPS_Hopelessness","Personality","Hedges_g",-0.0573,-0.2898,0.1748,"Negligible",304,93,"2.08 (0.49)","2.05 (0.54)"
"SURPS_Anxiety_Sensitivity","Personality","Hedges_g",-0.1151,-0.3478,0.117,"Negligible",304,93,"2.59 (0.49)","2.53 (0.53)"
"DBAS_Consequences","Personality","Hedges_g",-0.1058,-0.3383,0.1264,"Negligible",304,93,"5.81 (2.09)","5.58 (2.12)"
"DBAS_Worry_Helplessness","Personality","Hedges_g",-0.1409,-0.3736,0.0913,"Negligible",304,93,"6.10 (1.82)","5.85 (1.79)"
"DBAS_Expectations","Personality","Hedges_g",0.0016,-0.2307,0.2338,"Negligible",304,93,"6.26 (2.32)","6.26 (2.18)"
"DBAS_Medications","Personality","Hedges_g",-0.7733,-1.0133,-0.5363,"Medium",304,93,"5.87 (1.82)","4.40 (2.17)"
"CISS_Task","Personality","Hedges_g",-0.0642,-0.2966,0.168,"Negligible",304,93,"3.70 (0.66)","3.66 (0.63)"
"CISS_Emotion","Personality","Hedges_g",-0.1568,-0.3896,0.0754,"Negligible",304,93,"2.94 (0.87)","2.81 (0.87)"
"CISS_Avoidance","Personality","Hedges_g",0.0491,-0.1831,0.2815,"Negligible",304,93,"2.80 (0.75)","2.84 (0.74)"
