Model,Description,N_Predictors,EPV,EPV_status,AUC
Model A,Personality VSURF interpretation set,3,31,✓ Adequate (≥10),"0.679 [0.611, 0.745]"
Model B,Full VSURF prediction set,2,46.5,✓ Adequate (≥10),"0.845 [0.793, 0.892]"
