term,MI_OR_CI,MI_sig,CC_OR_CI,CC_sig,OR_change_pct,Direction,Sig_consistency
wdl_symptom_count,"0.27 [0.16, 0.44]",***,"0.24 [0.13, 0.40]",***,-10.9,CC lower,Both significant
indication,"0.59 [0.47, 0.74]",***,"0.52 [0.42, 0.65]",***,-10.9,CC lower,Both significant
