"variable","n_missing","obs_mean","obs_sd","imp_mean","imp_sd","mean_diff","sd_ratio","abs_smd","flag"
"surps19",63,2.237,0.943,2.278,0.952,0.042,1.009,0.044,"✓"
"surps20_r",63,2.003,0.54,2.07,0.671,0.067,1.244,0.111,"✓"
"surps21",63,2.503,0.692,2.491,0.764,-0.012,1.103,0.016,"✓"
"surps22",63,1.584,0.642,1.625,0.683,0.042,1.065,0.063,"✓"
"surps23_r",63,2.362,0.729,2.465,0.773,0.102,1.059,0.136,"✓"
"ciss1",63,3.036,1.114,3.048,1.093,0.012,0.981,0.011,"✓"
"ciss2",63,3.988,0.873,3.99,0.87,0.002,0.996,0.003,"✓"
"ciss3",63,2.802,1.111,2.844,1.25,0.041,1.125,0.035,"✓"
"ciss4",63,2.964,1.256,2.998,1.292,0.034,1.029,0.027,"✓"
"ciss5",63,2.844,1.162,2.858,1.265,0.013,1.089,0.011,"✓"
"ciss6",63,3.644,0.928,3.628,0.981,-0.016,1.057,0.017,"✓"
"ciss7",63,3.057,1.198,2.938,1.213,-0.119,1.013,0.099,"✓"
"ciss8",63,3.722,0.909,3.608,1.022,-0.114,1.125,0.118,"✓"
"ciss9",63,2.32,1.171,2.436,1.176,0.116,1.004,0.099,"✓"
"ciss10",63,2.59,1.207,2.601,1.294,0.011,1.072,0.009,"✓"
"ciss11",64,4.006,0.857,3.913,0.961,-0.093,1.121,0.102,"✓"
"ciss12",64,2.676,1.037,2.738,1.106,0.062,1.066,0.058,"✓"
"ciss13",64,3.477,0.838,3.541,0.902,0.063,1.077,0.073,"✓"
"ciss14",64,2.535,1.142,2.587,1.193,0.052,1.044,0.045,"✓"
"ciss15",64,3.186,1.193,3.091,1.238,-0.096,1.038,0.079,"✓"
"ciss16",64,3.802,0.887,3.684,0.964,-0.117,1.087,0.127,"✓"
"ciss17",64,3.511,1.077,3.558,1.124,0.048,1.044,0.043,"✓"
"ciss18",64,2.312,1.148,2.292,1.231,-0.02,1.072,0.017,"✓"
"ciss19",64,3.342,0.939,3.271,1.015,-0.072,1.08,0.073,"✓"
"ciss20",64,2.547,1.062,2.591,1.137,0.045,1.071,0.041,"✓"
"ciss21",64,2.916,1.261,3.016,1.284,0.1,1.018,0.078,"✓"
