model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model A (Personality),(Intercept),0.7902335312569494,0.57602502461171,2.203911048280743,0.7099424427904606,6.841715068678509,"2.20 [0.71, 6.84]",1.3718736122439024,0.17095892798241977,
Model A (Personality),DBAS_Medications,-0.3847901353907279,0.07724005341343841,0.6805934536971281,0.5845802197953848,0.7923761932579879,"0.68 [0.58, 0.79]",-4.981743517590334,1.128013147673096e-6,***
Model A (Personality),CISS_Emotion,-0.19296659007280287,0.17669794407772554,0.8245095204819977,0.5823846397021828,1.1672971830319818,"0.82 [0.58, 1.17]",-1.0920703751251406,0.2756368354352215,
Model A (Personality),DBAS_Consequences,0.10072201252392167,0.0771947486148481,1.105969153452865,0.950147725794296,1.2873448361587292,"1.11 [0.95, 1.29]",1.3047780364757635,0.192884012442703,
Model B (Full),(Intercept),1.4004757931526832,0.3716725225778974,4.0571298623007745,1.9485708929769705,8.447371752754206,"4.06 [1.95, 8.45]",3.768036935953916,2.2259520540675334e-4,***
Model B (Full),wdl_symptom_count,-1.3206246653672313,0.25183920180207675,0.26696848390250527,0.1626920605843376,0.4380802058884465,"0.27 [0.16, 0.44]",-5.243920151895673,2.6957758018192406e-7,***
Model B (Full),indication,-0.5294585738782976,0.11667896253012003,0.5889237420723662,0.4675576291071668,0.7417934226392943,"0.59 [0.47, 0.74]",-4.537738101173302,1.252393884824511e-5,***
