Fold,Mean_AUC,SD_AUC
1,0.6033333333333333,0
2,0.7402597402597403,0
3,0.6144200626959248,0
4,0.8243727598566308,0
5,0.6190476190476191,0
6,0.7990196078431373,0
7,0.8166666666666667,0
8,0.7914285714285715,0
9,0.6074074074074074,0
10,0.7758620689655172,0
