Imputation,Apparent_AUC,CV_AUC,CV_Lower,CV_Upper,Optimism
1,0.732597623089983,0.7112337294850029,0.6458925792303339,0.771440824844369,0.021363893604980144
2,0.732597623089983,0.7134443972835314,0.650290039615167,0.7726381225240521,0.019153225806451624
3,0.732597623089983,0.719368986983588,0.6527907470288625,0.780600947934352,0.01322863610639502
4,0.732597623089983,0.7007816921335597,0.6383515492359932,0.7619623655913977,0.03181593095642332
5,0.732597623089983,0.7078735144312394,0.6434573075834749,0.7686797007640068,0.024724108658743638
6,0.732597623089983,0.7146646859083192,0.6522999787775892,0.7734932088285228,0.017932937181663777
7,0.732597623089983,0.7149122807017544,0.6524105121675156,0.7730333899264289,0.01768534238822861
8,0.732597623089983,0.7142402376910016,0.6498930036785513,0.7748319892473117,0.018357385398981352
9,0.732597623089983,0.718060271646859,0.6542117642897566,0.7807371250707413,0.014537351443123958
10,0.732597623089983,0.7051146010186757,0.6447651386530843,0.7641712648556875,0.02748302207130726
11,0.732597623089983,0.709854272778721,0.6478397354272778,0.7691417303338992,0.022743350311261956
12,0.732597623089983,0.7123655913978495,0.6478742218449348,0.7742085809281267,0.0202320316921335
13,0.732597623089983,0.7096066779852858,0.6463258701188455,0.7689003254102998,0.022990945104697236
14,0.732597623089983,0.7146293152235428,0.6511221349745331,0.7730042091114884,0.017968307866440214
15,0.732597623089983,0.6996675155631014,0.6388909521788342,0.7594192133559705,0.032930107526881636
16,0.732597623089983,0.7222163271080928,0.6614671760045274,0.7830715902659875,0.010381295981890193
17,0.732597623089983,0.7173882286361064,0.6541003466327109,0.7794363681380871,0.01520939445387659
18,0.732597623089983,0.7122241086587436,0.647169460950764,0.7725682654216186,0.02037351443123936
19,0.732597623089983,0.7096420486700622,0.6491572934352009,0.7711171830786644,0.0229555744199208
20,0.732597623089983,0.7133382852292021,0.6506738115449915,0.7712993421052631,0.019259337860780934
