variable,n_missing,pct_missing
ciss11,64,16.120906801007557
ciss12,64,16.120906801007557
ciss13,64,16.120906801007557
ciss14,64,16.120906801007557
ciss15,64,16.120906801007557
ciss16,64,16.120906801007557
ciss17,64,16.120906801007557
ciss18,64,16.120906801007557
ciss19,64,16.120906801007557
ciss20,64,16.120906801007557
ciss21,64,16.120906801007557
surps17,63,15.869017632241814
surps18,63,15.869017632241814
surps19,63,15.869017632241814
surps20,63,15.869017632241814
surps21,63,15.869017632241814
surps22,63,15.869017632241814
surps23,63,15.869017632241814
ciss1,63,15.869017632241814
ciss2,63,15.869017632241814
ciss3,63,15.869017632241814
ciss4,63,15.869017632241814
ciss5,63,15.869017632241814
ciss6,63,15.869017632241814
ciss7,63,15.869017632241814
ciss8,63,15.869017632241814
ciss9,63,15.869017632241814
ciss10,63,15.869017632241814
surps9,61,15.365239294710328
surps10,61,15.365239294710328
surps11,61,15.365239294710328
surps12,61,15.365239294710328
surps13,61,15.365239294710328
surps14,61,15.365239294710328
surps15,61,15.365239294710328
surps16,61,15.365239294710328
surps1,60,15.113350125944585
surps2,60,15.113350125944585
surps3,60,15.113350125944585
surps4,60,15.113350125944585
surps5,60,15.113350125944585
surps6,60,15.113350125944585
surps7,60,15.113350125944585
surps8,60,15.113350125944585
reserved,59,14.861460957178842
outgoing,59,14.861460957178842
find_fault,59,14.861460957178842
trusting,59,14.861460957178842
lazy,59,14.861460957178842
thorough,59,14.861460957178842
relaxed,59,14.861460957178842
nervous,59,14.861460957178842
few_interests,59,14.861460957178842
imagination,59,14.861460957178842
dbas1,59,14.861460957178842
dbas_2,59,14.861460957178842
dbas_3,59,14.861460957178842
dbas_4,59,14.861460957178842
dbas_5,59,14.861460957178842
dbas_6,59,14.861460957178842
dbas_7,59,14.861460957178842
dbas_8,59,14.861460957178842
dbas_9,59,14.861460957178842
dbas_10,59,14.861460957178842
dbas_11,59,14.861460957178842
dbas_12,59,14.861460957178842
dbas_13,59,14.861460957178842
dbas_14,59,14.861460957178842
dbas_15,59,14.861460957178842
dbas_16,59,14.861460957178842
