"Variable","Domain","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"BFI_Neuroticism","Personality",4.65603879645703e-06,12,0,0,FALSE,FALSE,FALSE
"BFI_Openness","Personality",-9.32502949548155e-07,16,0,0,TRUE,FALSE,FALSE
"SURPS_Impulsivity","Personality",-7.4576666117628e-06,16,0,0,TRUE,FALSE,FALSE
"SURPS_Sensation_Seeking","Personality",-1.61385128610002e-05,15,0,0,TRUE,FALSE,FALSE
"SURPS_Hopelessness","Personality",-2.6276135046211e-05,13,0,0,TRUE,FALSE,FALSE
"SURPS_Anxiety_Sensitivity","Personality",-3.84942083105208e-05,10,0,0,FALSE,FALSE,FALSE
"DBAS_Consequences","Personality",-5.04192526693427e-05,6,0,0,FALSE,FALSE,FALSE
"DBAS_Worry_Helplessness","Personality",-5.82495596546172e-05,14,0,0,TRUE,FALSE,FALSE
"DBAS_Expectations","Personality",-7.28937193187613e-05,1,0,0,FALSE,FALSE,FALSE
"DBAS_Medications","Personality",-9.2505546396754e-05,25,20,0,TRUE,TRUE,FALSE
"CISS_Task","Personality",-0.000118577866096305,22,0,0,TRUE,FALSE,FALSE
"CISS_Emotion","Personality",-0.000162810275241877,6,0,0,FALSE,FALSE,FALSE
"CISS_Avoidance","Personality",-0.000227206644508062,0,0,0,FALSE,FALSE,FALSE
