Model,Description,N_MI,N_CC,MI_AUC,CC_AUC,AUC_Diff
Model A,Personality interpretation set,397,333,"0.679 [0.611, 0.745]","0.699 [0.624, 0.772]",0.019
Model B,Full prediction set,397,333,"0.845 [0.793, 0.892]","0.872 [0.820, 0.919]",0.027
