"","level","Overall","0","1","p","test","SMD"
"","Multiple symptoms","  107 (27.0) ","  100 (32.9) ","    7 ( 7.5) ","","",""
"wdl_symptom_count (mean (SD))",""," 0.95 (1.00)"," 1.18 (0.99)"," 0.22 (0.61)","<0.001",""," 1.180"
"motivation_1 (mean (SD))",""," 3.18 (1.25)"," 3.29 (1.22)"," 2.81 (1.25)"," 0.001",""," 0.393"
"motivation_2 (mean (SD))",""," 2.43 (1.17)"," 2.51 (1.19)"," 2.16 (1.07)"," 0.011",""," 0.312"
"motivation_3 (mean (SD))",""," 2.74 (1.30)"," 2.70 (1.28)"," 2.88 (1.37)"," 0.241",""," 0.137"
"desires_1 (mean (SD))",""," 2.66 (1.15)"," 2.59 (1.13)"," 2.91 (1.20)"," 0.017",""," 0.279"
"desires_2 (mean (SD))",""," 2.53 (0.97)"," 2.49 (0.95)"," 2.63 (1.02)"," 0.221",""," 0.143"
"desires_3 (mean (SD))",""," 3.67 (1.14)"," 3.60 (1.13)"," 3.90 (1.15)"," 0.026",""," 0.264"
"capability_1 (mean (SD))",""," 3.12 (1.20)"," 2.96 (1.14)"," 3.66 (1.24)","<0.001",""," 0.587"
"capability (mean (SD))",""," 3.17 (1.29)"," 3.35 (1.22)"," 2.59 (1.33)","<0.001",""," 0.591"
"BFI_Extraversion (mean (SD))",""," 3.23 (1.04)"," 3.15 (1.03)"," 3.47 (1.07)"," 0.009",""," 0.306"
"BFI_Agreeableness (mean (SD))",""," 3.71 (0.90)"," 3.69 (0.91)"," 3.80 (0.88)"," 0.319",""," 0.119"
"BFI_Conscientiousness (mean (SD))",""," 4.10 (0.88)"," 4.09 (0.89)"," 4.10 (0.85)"," 0.936",""," 0.010"
"BFI_Neuroticism (mean (SD))",""," 2.92 (1.02)"," 2.90 (1.04)"," 2.97 (0.95)"," 0.562",""," 0.070"
"BFI_Openness (mean (SD))",""," 3.52 (0.92)"," 3.48 (0.90)"," 3.65 (0.97)"," 0.122",""," 0.180"
"SURPS_Impulsivity (mean (SD))",""," 2.09 (0.53)"," 2.08 (0.53)"," 2.12 (0.52)"," 0.502",""," 0.080"
"SURPS_Sensation_Seeking (mean (SD))",""," 1.96 (0.53)"," 1.95 (0.53)"," 1.99 (0.54)"," 0.488",""," 0.082"
"SURPS_Hopelessness (mean (SD))",""," 2.07 (0.50)"," 2.08 (0.49)"," 2.05 (0.54)"," 0.628",""," 0.056"
"SURPS_Anxiety_Sensitivity (mean (SD))",""," 2.58 (0.50)"," 2.59 (0.49)"," 2.53 (0.53)"," 0.331",""," 0.113"
"DBAS_Consequences (mean (SD))",""," 5.76 (2.10)"," 5.81 (2.09)"," 5.58 (2.12)"," 0.372",""," 0.106"
"DBAS_Worry_Helplessness (mean (SD))",""," 6.04 (1.81)"," 6.10 (1.82)"," 5.85 (1.79)"," 0.234",""," 0.142"
"DBAS_Expectations (mean (SD))",""," 6.26 (2.29)"," 6.26 (2.32)"," 6.26 (2.18)"," 0.989",""," 0.002"
"DBAS_Medications (mean (SD))",""," 5.53 (2.00)"," 5.87 (1.82)"," 4.40 (2.17)","<0.001",""," 0.737"
"CISS_Task (mean (SD))",""," 3.69 (0.66)"," 3.70 (0.66)"," 3.66 (0.63)"," 0.588",""," 0.065"
"CISS_Emotion (mean (SD))",""," 2.91 (0.87)"," 2.94 (0.87)"," 2.81 (0.87)"," 0.186",""," 0.157"
"CISS_Avoidance (mean (SD))",""," 2.81 (0.75)"," 2.80 (0.75)"," 2.84 (0.74)"," 0.678",""," 0.049"
