Model,N_Influential,Pct_Influential,Pct_Discontinued,Profile_Scenario,Robust_Predictors
Model A (Personality),24,6.0%,95.8%,SCENARIO 2: Moderate evidence — heterogeneous,1 / 3
Model B (Full),26,6.5%,73.1%,SCENARIO 3: Statistical outliers — no coherent profile,2 / 2
