"scale","n_items","obs_mean_r","imp_mean_r","r_drop","flag"
"CISS",21,0.203,0.177,0.026,"✓"
"SURPS",23,0.171,0.153,0.017,"✓"
"DBAS",15,0.309,0.271,0.038,"✓"
"BFI",9,0.138,0.121,0.016,"✓"
