"variable","n_missing","n_levels","max_prop_diff","flag"
"income",9,5,0.149,"✓"
"driving_freq",35,4,0.133,"✓"
"side_effects_1",37,5,0.037,"✓"
"side_effects_2",38,5,0.047,"✓"
"side_effects_3",38,5,0.094,"✓"
"side_effects_4",45,5,0.017,"✓"
"safety_1",45,5,0.031,"✓"
"safety_2",45,5,0.021,"✓"
"safety_3",45,5,0.039,"✓"
"safety_4",45,5,0.022,"✓"
"adls_1",45,5,0.038,"✓"
"adls_2",46,5,0.034,"✓"
"dependence_1",47,5,0.019,"✓"
"dependence_2",49,5,0.045,"✓"
"dependence_3",49,5,0.018,"✓"
